Sample_ID,Treatment,Replicate,Acute_heat,Heat_history,History_type,Change_PAM,Change_SD,Mortality
STP_C1,STP_Control,1,Control,TRUE,ST_primed,3.92,-24.59,0
STP_C2,STP_Control,2,Control,TRUE,ST_primed,3.92,-24.59,0
STP_C3,STP_Control,3,Control,TRUE,ST_primed,9.79,-23.43,0
STP_C4,STP_Control,4,Control,TRUE,ST_primed,9.79,-23.43,0
LTP_H1,LTP_Heat,1,Heat,TRUE,LT_primed,-1.26,-23.47,0
LTP_H2,LTP_Heat,2,Heat,TRUE,LT_primed,13.88,54.13,0
LTP_H3,LTP_Heat,3,Heat,TRUE,LT_primed,0.47,-13.52,0
N_H1,N_Heat,1,Heat,FALSE,Naive,-14.22,-48.85,6.66
N_H2,N_Heat,2,Heat,FALSE,Naive,-27.45,-40.28,71.43
N_H3,N_Heat,3,Heat,FALSE,Naive,-1.74,-52.90,0
A_H1,A_Heat,1,Heat,TRUE,Acclimated,9.07,-35.33,0
A_H2,A_Heat,2,Heat,TRUE,Acclimated,-0.56,-3.46,0
A_H3,A_Heat,3,Heat,TRUE,Acclimated,1.53,-25.11,0
LTP_C1,LTP_Control,1,Control,TRUE,LT_primed,-2.01,75.91,0
LTP_C2,LTP_Control,2,Control,TRUE,LT_primed,0.46,18.28,0
LTP_C3,LTP_Control,3,Control,TRUE,LT_primed,-2.31,23.87,0
A_C1,A_Control,1,Control,TRUE,Acclimated,-1.18,-9.03,0
A_C2,A_Control,2,Control,TRUE,Acclimated,-0.86,-3.35,0
A_C3,A_Control,3,Control,TRUE,Acclimated,-6.03,-52.90,0
N_C1,N_Control,1,Control,FALSE,Naive,5.81,-34.00,0
N_C2,N_Control,2,Control,FALSE,Naive,2.01,4.68,0
N_C3,N_Control,3,Control,FALSE,Naive,5.97,-7.51,0
STP_H1,STP_Heat,1,Heat,TRUE,ST_primed,-0.18,7.22,0
STP_H2,STP_Heat,2,Heat,TRUE,ST_primed,-0.18,7.22,0
STP_H3,STP_Heat,3,Heat,TRUE,ST_primed,0.81,-27.69,0
STP_H4,STP_Heat,4,Heat,TRUE,ST_primed,0.81,-27.69,0
